'Hi I&rsquo;m a Kara enthusiast'
'I&apos;m 29'
'I&apos;m 195'
'I&apos;m smart'
'I&apos;m amazing'
'Dai krub'
'Dai krub'
'I&apos;m lookingfor'
'I&apos;m amazing'
'I&apos;m amazing'
'Dai krub'
'I&apos;m amazing'
'Dai krub'
'I&apos;m 29'
'I&apos;m amazing'
'I&apos;m 29'
'I&apos;m amazing'
'Living'
'Dai krub'
'I&apos;m amazing'
'I&apos;m amazing'
'I&apos;m in bkk'
'Drink'
'I&apos;m amazing'
'Let&apos;s make babies'
'I&apos;m amazing'
'I&apos;m amazing'
'Living'
'I&apos;m amazing'
'I&apos;m amazing'
'Living'
'I&apos;m good'
'I&apos;m amazing'
'I&apos;m amazing'
'I&apos;m good'
'I&apos;m John'
'I&apos;m'
'I&apos;m amazing'
'I&apos;m amazing'
'I&apos;m good'
'Dai krub'
'I&apos;m amazing'
'Let&apos;s talk'
'I&apos;m amazing'
'I don&apos;t drink'
'I&apos;m tired'
'I&apos;m good'
'I&apos;m ok'
'I&apos;m John'
'I&apos;m great'
'I&apos;m amazing'
'I&apos;m John'
'I&apos;m in bkk'
'I&apos;m good!'
'Dai krub'
'I&apos;m just working'
'I&apos;m amazing'
'I&apos;m good'
'I&apos;m not joking!'
'I&apos;m good !'
'I&apos;m amazing'
'I&apos;m amazing'
'Hi I&apos;m good'
'I&apos;m amazing'
'Hi,  I&apos;m an idiot'
'I&apos;m amazing'
'I&apos;m serious!'
'Mommas girl'
'I&apos;m 3-0 🙋🏻\u200d♂️💥😜'
'Hi I&apos;m John'
'He&apos;s pink'
'I&apos;m John'
'Dai krub'
'Dai krub'
'I&apos;m John'
'I&apos;m amazing'
'But I&apos;m 195'
'I&apos;m good'
'I&apos;m 195'
'I&apos;m smart'
'I&apos;m amazing'
'Dios mio'
'I&apos;m John'
'I&apos;m gd hru'
'Drinks maybe'
'I&apos;m good !'
'I&apos;m good!'
'Hi I&apos;m good'
'I&apos;m more busy'
'I don&apos;t smoke!'
'I&apos;m in hk'
'I&apos;m good'
'I&apos;m John'
'I&apos;m serious!!!'
'I&apos;m 28'
'I&apos;m me!'
'So you like girls also?'
'I&apos;m amazinf'
'I&apos;m 195'
'I&apos;m serious!'
'I&apos;m amazing'
'I&apos;m amazing'
'I&apos;m serious!'
'I&apos;m sure'
'I&apos;m patient but'
'I&apos;m in Davao'
'I&apos;m in davao'
'I&apos;m in Davao'
'Visiting'
'Drinks?'
'Polygamist?'
'I&apos;m amazing'
'I&apos;m serious!'
'I&apos;m amazing'
'Let&apos;s make babies?'
'Let&apos;s make babies?'
'Hi; I&apos;m good'
'Hi I&apos;m John'
'I&apos;m serious!'
'I&apos;m amazing'
'1000&apos;s'
'Let&apos;s make babies'
'I&apos;m amazing'
'I&apos;m in Jakarta'
'I&apos;m amazing'
'I&apos;m amazing'
'I&apos;m too tired'
'I&apos;m ironic'
'I&apos;m good'
'It&apos;s a joke, like irony'
'I&apos;m bit busy todau'
'I&apos;m 195'
'I&apos;m in USA'
'I&apos;m lucky'
'I&apos;m tall'
'Liar.'
'Liar!'
'Nos gustas'
'Gustamos'
'Nos gustas tu'
'I&apos;m in Taipei soon'
'I&apos;m in kitts 😜'
'I&apos;m smart 😂'
'I&apos;m amazing'
'I&apos;m great'
'I&apos;m...'
'I&apos;m amazing'
'I&apos;m amazing'
'Taipei'
'I&apos;m amazing'
'I&apos;m serious!'
'I&apos;m good!'
'I&apos;m amazing'
'I&apos;m john'
'I&apos;m up'
'I&apos;m in bkk'
'I&apos;m 195'
'I&apos;m good'
'I&apos;m USA'
'I&apos;m good'
'I&apos;m amazing'
'I&apos;m amazing'
'Let&apos;s make babies'
'I&apos;m good!'
'I&apos;m in hk'
'I&apos;m 195'
'Yea I&apos;m in Taipei'
'Taipei'
'I&apos;m good!'
'I&apos;m amazing'
'Visiting'
'I&apos;m back'
'I&apos;m not'
'I&apos;m good'
'I&apos;m in Taipei now'
'I&apos;m in Taipei'
'Liar 😝😝😜'
'I&apos;m mean'
'Lies'
'I&apos;ve got game'
'I&apos;m in Bkk'
'I&apos;m good!'
'I&apos;m good!'
'I&apos;m businessman'
'I&apos;m good!'
'Dai krupt'
'Live'
'I&apos;m busy'
'I&apos;m a spu'
'I&apos;m like'
'Let&apos;s talk'
'Because I&apos;m smart'
'I&apos;m good'
'I&apos;m good!'
'I&apos;m smart'
'I&apos;m in bkk'
'Pai?'
'Liar!!'
'I&apos;m good'
'I&apos;m great'
'I&apos;m good!'
'Let&apos;s go party'
'Hi I&apos;m Eddie'
'I&apos;m in Bkk'
'Hi tippy, I&apos;m john'
'Tokyo'
'I&apos;m in bkk'
'I&apos;m in bkk'
'I&apos;m good'
'I&apos;m in tokyo'
'I&apos;m good'
'I&apos;m in bkk'
'Laos? Vietnam?'
'Nur'
'Anytime'
'I&apos;m stuck'
'I&apos;m 23'
'i&apos;m friends w aiko'
'Skink'
'Im maybe stupid but I&apos;m no perv'
'So\n Drinks?'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'I&rsquo;m jealous lol'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Fair game'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'It&rsquo;s like legos tbh'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Lies'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Videogames, lifting, youtube, drinking😂'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Claims'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Claims'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Omg😂I&rsquo;m like barely tipsy'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Virgo'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jasom'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'I&rsquo;m jealous asf'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Omg mine&rsquo;s Skyrim'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Liar'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Pinky'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Adios'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'ikr'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'I&rsquo;m jealous'
'I&rsquo;m back'
'Hi I&rsquo;m Jason'
'Hi I&rsquo;m Jason'
'Hi, I&rsquo;m Jason'
'I&rsquo;m a hunk'
'Lit'
'You tryna link'
'U tryna link?'
'U tryna link?'
'U tryna link?'
'U tryna link?'
'U tryna link?'
'U tryna link?'
'U tryna link?'
'U tryna link?'
'U tryna link?'
'U tryna link?'
'Let&rsquo;s make a movie'
'T&apos;as instagram?'
'J&apos;ai pas what&apos;s app'
'5&apos;6'
'I&apos;m okay'
'5&apos;6'
'5&apos;5'
'5&apos;5'
'5&apos;5'
'J&apos;te jure'
'Pas pire 😉'
'I like dinosaurs'
'Vraiment'
'Je dis pas oui, je dis pas non'
'J&apos;ai fini mon travail'
'Mais j&apos;aime ça'
'J&apos;ai raison?'
'Vous?'
'Pas vraiment 🙊'
'5&apos;6'
'T&apos;as instagram? 😊'
'J&apos;sais pas...'
'5&apos;6'
'Je m&apos;en plaindrai pas 😏'
'Mais je suis niaiseuse'
'J&apos;suis plus into mind games'
'Medium je dirais'
'Pis*'
'Leaving jaipur today'
'Si jamais t&apos;es down 🍆🍑'
'Ok je te forcerai pas 😂'
'Je reviendrai 😚'
'Promis 😚'
'Wow je perdais pas mon temps!'
'T&apos;as l&apos;air loin'
'T&apos;as 21?'
'Pas pire 🙂'
'Mais je vais m&apos;en sortir'
'J&apos;ai faim'
'Mais je suis picky'
'J&apos;ai pas snap'
'Jserais game'
'Ouff je sais pas'
'T&apos;aimerais ça 🙊🙊?'
'J&apos;aime satisfaire mais j&apos;ai besoin d&apos;un minimum'
'Jsais pas'
'T&apos;as raison'
'J&apos;ai jamais fait ça'
'T&apos;es dirtyyyy'
'5&apos;6'
'5&apos;6'
'2 sur 4 j&apos;ai joui'
'Pas grave'
'J&apos;ai pas snapchat dsl'
'J&apos;ai insta si tu veux'
'J&apos;ai vu'
'5&apos;5'
'J&apos;ai chaud'
'J&apos;ai soif'
'J&apos;ai pas snapchat'
'5&apos;5'
'Airbnb mostly'
'Ouin j&apos;imagine'
'J&apos;ai pas Instagram 🙊'
'J&apos;aimerais beaucoup 😚'
'J&apos;y ai jamais habité mais j&apos;y ai grandi'
'Je t&apos;ai 🖐️'
'Non j&apos;ai pas regardé'
'Tas pas d&apos;auto si tu peux pas t&apos;en servir 😏'
'5&apos;5'
'Oui j&apos;aimerais bien !'
'J&apos;aimerais vraiment ça 🙂'
'J&apos;aimerais bcp trop ça 🙊'
'Tu m&apos;inviteras 😚'
'Vraiment'
'Pis j&apos;suis prude 😚'
'J&apos;ai pas snapchat'
'nu'
'J&apos;ai pas snapchat'
'Pk t&apos;as juste 2 photos?'
'J&apos;ai pas snapchat'
'Pas pire pis toi?'
'moi aussi je vais bien'
'pas tant'
'J&apos;ai pas Snapchat'
'J&apos;aimerais vraiment ça '
'Je vais venir'
'Je sais pas'
'Vraiment'
'J&apos;imagine, j&apos;ai jamais vraiment vécu ça'
'J&apos;aimerais vraiment ça'
'Vous?'
'J&apos;aimerais, mais j&apos;ai pas Snapchat'
'J&apos;ai pas Snapchat'
'Moi aussi j&apos;aimerais bien'
'Oui j&apos;aimerais ça'
'J&apos;ai pas snap'
'J&apos;ai pas ig'
'&apos;ippies'
'No panties'
'2 guys plus me'
'I&apos;m ready'
'I&apos;m fine'
'Yes I&apos;m in budva'
'5&apos;6'
'7&sol;10, I&apos;m ok'
'Pas vraiment'
'Pas pire ^^'
'5&apos;6'
'Vin'
'you drink? smoke?'
'I&rsquo;m also baked'
'do you drink? Smoke?'
'Lit'
'ikr '
'joji is my spirit animal!!'
'ikr'
'ikr ty'
'jk I&apos;m dying inside'
'idk maybe i&apos;d be like 4&apos;11 if i didn&apos;t drink milk so'
'I&rsquo;m jealous tbh'
'I&rsquo;m jealous'
'ikr '
'I&rsquo;m dying'
'I&rsquo;m at Nina&rsquo;s drinking'
'Joji is life'
'ikr'
'ikr'
'I&rsquo;m dying'
'I&apos;m only 5&apos;7'
'I&apos;m sold, take me, I&apos;m yours'
'Miau'
'Paimio'
'Onks avokado kasvanu hyvin?'
'ujo 😛'
'Tamkis vai?'
'Vai? 😬'
'Tai patologiksi'
'Paras  🌚'
'Åja kos 🤗'
'Das is radikal'
'At Mario Kart'
'At Mario Kart'
'At Mario Kart ;&rpar;'
'I&apos;m just a smart guy'
'No I&apos;m just blind'
'No you didn&apos;t, I&apos;ve enjoyed talking to you'
'Albo Virgo'
'Bajo'
'4km'
'Albo lepiej'
'E tam genialny'
' I&rsquo;m '
'Blair is a diva'
'Anytime'
'so I&apos;m biased'
'je plaisante'
'ouais je sais'
'mais t&apos;as raison'
'I&apos;m not joking'
'davai'
'davai paneme'
'davai'
'davai'
'Mis pilt'
'Davai'
'Davai'
'Davai'
'Davaika'
'Vara'
'Davai'
'If you&apos;d like'
'ti diavazeis?'
'kanonikotato diavasma diladi'
'ti akrivos?'
'nee ediskoleftika arketa je espase i fasi mou giati apla edinan mas grapta astamatita giati &quot;o monos tropos na ta matheis ine na lineis provlimata sinexia&quot;'
'se ti epipedo didaskis?'
'so extos p series junkie ti allo kamnis? 😂'
'so pos kai apofasises na ginis tinderella?'
'ikr'
'o titlos idi ekinise m tin periergia'
'I&apos;m yarmitporys'
'I&apos;m @yarmitp'
'Anytime'
'Juoksu*'
'No I&rsquo;m only joking'
'I&rsquo;m joking'
'I&apos;m verified'
'Liar'
'Didn&apos;t*'
'I&apos;m just as a BBQ'
'I&apos;m 6ft'
'Yup. I&apos;m sleeptalking to you'
'Kandi laskis + yrijuri, maisteri laskis + cems'
'Onks Lauri bi vai gay'
'Prima ;&rpar;'
'Bergamo?'
'Skin'
'No I&rsquo;m just busy'
'I&rsquo;m busy'
'Martinis'
'Je ne sais pas 🤷🏻\u200d♀️'
'I&apos;m sorry I&apos;m very drunk'
'I&apos;m listening'
'Also I&apos;m busy'
'I&apos;m sick 😷😭'
'I&rsquo;m listening'
'Look at jojo siwa'
'Pinky promise'
'Virgin'
'Send virginia'
'I&rsquo;m so jealous'
'Lies'
'I&rsquo;m trying'
'I&rsquo;m a genius'
'So it&rsquo;s syrup'
'I&rsquo;m dying'
'Pinky promise'
'Anytime'
'Vesuvius'
'I&rsquo;m back'
'So rip me'
'I&rsquo;m tryinh'
'Lies'
'I&rsquo;m just being a smartass'
'Anytime'
'I&rsquo;m trying'
'I&rsquo;m so jealous!'
'Priorities'
'I&apos;m 5ft..........LMAO'
'Ouais c&apos;est pas mauvais la karmeliet'
'J&apos;ai whatsapp si tu veux'
'Palinka ? ;&rpar;'
'Mais bon'
'Je n&apos;ai jamais vu de psy'
'Ah j&apos;avais mal lu'
'Ouais j&apos;imagine bien'
'1m85'
'Et t&apos;as l&apos;air sympa aussi !'
'Ah je ne savais pas'
'Ah je ne sais pas'
'Oui pas vraiment'
'J&apos;ai l&apos;oeil'
'T&apos;etais où ?'
'mais ça va je pourrai m&apos;organiser'
'j&apos;ai pris ma retraite '
'aha ? 🙂 j&apos;avais pas l&apos;impression'
'alors voilà je m&apos;y suis mis 😉'
'J&apos;aime bien'
'mais ok je serai patient 😉'
'nan pas vraiment'
't&apos;imagines ?'
'tu m&apos;as eu 😄'
'y a pas un emoji bisou ?'
'mais bon'
'ouais t&apos;as raison'
'sinon j&apos;ai skype ? 😄'
'mais bon'
' ouais ok pareil'
'alors je ne sais pas trop d&apos;où je suis'
'mais bon'
'enfin je sais pas j&apos;y arriverais pas'
'I&apos;m surviving ;&rpar;'
'I&apos;m not belgian ;&rpar;'
'I&apos;m listening'
'Ahh ma vie je ne sais pas'
'Les nokos !'
'Mais j&apos;ai pas pigé'
'Gusto mo ba dominant ka?'
'@nordinkim'
'@nordinkim'
'@nordinkim'
'Tjosefine'
'nordinkim'
'That&rsquo;s nuts I&rsquo;m so jealous'
'6.15 davanti a starbucks?'
'Tra 5 minuti vado'
'Aruba mai stato sai?'
'A prima vista'
'Vai'
'Va benissimo😊'
'Va benissimo'
'Vivi a bergamo?'
'Va benissimo!'
'Io amo san pietroburgo'
'Ci stai?'
'Tu vivi a bergamo? 😊'
'*uomo'
'Siamo su tinder'
'&apos;94'
'Dai gratis'
'Studiavo 😊'
'Vivi a bergamo? 😊'
'Vai spara'
'Vai spara 😂'
'Benissimo dai 😊'
'Vai spara 😊'
'Fai benissimo 😊'
'Vivi a bergamo?'
'finds raus 😉'
'Aus ibk'
'Ja bei mir a'
'traurig 😢'
'Aus Tirol'
'1m 87'
'simonrueba'
'I&apos;d go to vietnam'
'I&apos;m in.'
'Abys mu pak stačila ale 😄'
'jojo'
'i když to bys mi asi nepsala 🙈😄'
'Letos máš končit?  😀'
'takže netancis?  😄'
'Jojo 😄😊'
'jojo'
'tak šup šup 😆'
'taky no...  napiš ☺️'
'jojo'
'jojo'
'Jojo 🙂'
'Studuješ tam?'
'A ty bys jela kam do Skandinavie?'
'a ty letos maturujes?'
'tak to už musis mit vs vybranou'
'letos maturujes?'
'&apos;Ц&apos;'
'Duvido'
'Miojo e ifood'
'Somos rivais.'
'@victorosaraiva'
'Como vai?'
'Vamo'
'Mas foi só beijo?'
'Eu já sairia'
'victorosaraiva'
'Você viu?'
'Você vai me odiar'
'@victorosaraiva'
'Brinks'
'Mas gosto, sim'
'Pra krl'
'490km'
'Biava'
'@victorosaraiva'
'@victorosaraiva'
'Mas joguei mais pra cima'
'Coisa pra playboy viajar pra Europa'
'Viu parasita?'
'Vamos?'
'Cê vai?'
'Mas hoje tem mais'
'@victorosaraiva'
'Vamos'
'Só vim visitar meus pais'
'Mas gostei tanto'
'Óbvio'
'Viajo hoje'
'Vai hoje?'
'Ótimo, HAHA'
'victorosaraiva'
'4km'
'90km'
'Ótimo, HAHA'
'Brinks'
'Saraiva'
'Já gostei mais de viajar, mas enjoei'
'@victorosaraiva'
'Somos vizinhos'
'Vamos'
'6km, para'
'Vamos'
'Perto, vai'
'Ótimo, ótimo!'
'vamo'
'mas vai me atualizando'
'vai lá, beijinhos, até mais'
'mas hoje somos muito amigos'
'Hey Niki, I&rsquo;m a Virgo ☀️, Aquarius 🌙, Leo rising ~'
'I&apos;m good'
'Vas a visitar a tus papás no?'
'vos?'
'vos?'
'sos la mujer burbuja'
'vos si?'
'somos dos nerdis jajajaja'
'sip y vos?'
'Vos?'
'vos tenés hijos?'
'Jajaja podemos ayudarnos juntos'
'I&apos;m visiting NYC'
'I&apos;m 23'
'I&apos;m into you'
'Lil'
'Let&apos;s talk!'
'I&apos;m a junior'
'I&apos;m good!'
'UC Davis.'
'Skit'
'*I&apos;m'
'My mom is 4&rsquo;9&rdquo;.'
'How&rsquo;s Ojai?'
'My mom is 4&rsquo;9&rdquo;.'
'Plus, mysterious.'
'vius a barna?'
'No, si jo tambe'
'Llevas moto?='
'ir a patinar'
'Amai pijnlijk'
'Tips?'
'Amai, pijnlijk'
'*terapie'
'nu'
'Pai m-au mirosit'
'i&apos;m just asking &colon;&rpar;&rpar;'
'i&apos;m not judging'
'frumos spus'
'io stiu?'
'nu'
'151km'
'nu'
'ceva kinkuri intersante?'
'io stiu? s-a mai vazut'
'si eu, da&apos; nu tine....'
'I-ai spus?'
'imi dau'
'motor n-ai, da&apos; jivinuta ai?'
'nu'
'nu'
'nu'
'minim'
'tgm nu-i rau, da&apos; nah'
'nu-i bai'
'motoru&apos;'
'nu'
'io ti-am spus ;&rpar;'
'nu, nu stiam'
'baiat serios...'
'nu'
'Stai jos?'
'*sry'
'*inima'
'*vin'
'pai... '
'*nu'
'nu'
'nu'
'Upsi 🤭'
'nu'
'io stiu?!'
'ikr!!'
'nu'
'nu-s banii tai'
'nu-mi aminti'
'nu'
'mie imi arata 5km'
'nu'
'nu'
'mira-m-as...'
'ai furat si tu o praji?'
'nu'
'nu'
'nu'
'kudos'
'nu'
'Link me 😎'
'nu'
'naiba stie...'
'nu'
'nu'
'pai tocmai'
'=&rpar;&rpar;&rpar;&rpar; baiat serios'
'nu'
'stai cu gagiu&apos; asta?'
'nu'
'g&apos;morning'
'nu'
'nu'
'i&apos;m sorry'
'nu'
'I&apos;m not judging'
'frumos spus'
'nu'
'nu'
'stiu, mi-ai spus '
'frumos spus, inteleg'
'Swiping in ajun? Nu mai vine mosu&apos; 🤭🤭'
'ce ti-a adus mosu&apos;?'
'nu'
'mi-a spus'
'pai te revirginizai, naibii'
'so, stau singur ;&rpar;'
'nu'
'frumos nume - paula'
'faceti si pisu&apos;n dus, stim'
'*rau'
'Dubios...'
'nu'
'nu'
'sunt... grijuliu'
'giuvaieru&apos; la femei'
'stiu, d-aia ti-am si spus asa'
'*nu'
'pai stai'
'pai nu'
'Tatuaje? Piercings?'
'i bet mine&apos;s dirtier'
'g&apos;morning, miss ;&rpar;'
'nu'
'i-ai spus?'
'nu'
'*m-ai'
'nu, stai'
'I don&apos;t drink'
'minim'
'nu'
'nu'
'tipup'
'nu'
'😂😂😂 nu'
'stiu, mi-ai spus'
'nu'
'nu'
'si ingenios'
'niste galbejiti'
'nu'
'Ke faki pepuse? &apos;&rpar;&rpar;'
'ai dat-o pe jos?'
'nu stiam...'
'nu'
'i&apos;d kiss you 😉 🙂'
'pai da&apos; hai!? ce mai stai?'
'Lil'
'Pe jos?!'
'Btw, I&apos;m not judging'
'Dubios nume'
'*i&apos;m'
'nu'
'meritu&apos; tau'
'Timp irosit'
'who&apos;s Eva Ianko?'
'da&apos; nu-mi insipira nimic'
'Da&apos; io i-am zis...'
'nu'
'nu'
'*nu'
'nu'
'ikr!'
'ghici programu&apos;mi 🙂'
'one&apos;s smoking'
'do you smoke, miss?'
'Pe jos plimbarea?'
'*mi-au'
'I&apos;m not judging, I&apos;m asking'
'Nu. Te dai jos pentru tine.'
'Da nasu&apos; 😘😘😘'
'Mi s-a mai spus, da 🤭🤭'
'Plus, you&apos;re kinda kinky'
'nu'
'austu&apos;'
'Bonus 😂'
'ai tu motivele&apos;ti 🙂'
'da&apos; stiu! 😄'
'nu nu 😄 da&apos; stiu! 😄'
'bravo, totusi 😄'
'nu'
'nu'
'nu'
'you&apos;d like mine 😄'
'nu'
'Serios?!'
'I&apos;m not judging'
'mostly strauss si vivaldi'
'skiul 🙂'
'da&apos; nu mai sunt'
'par io violent asa? 😒'
'da&apos; stai !! 😄'
'*tovarasul'
'nu'
'dyonisos'
'ikr'
'nu'
'I ain&apos;t judging'
'Kijk mijn foto&apos;s'
'But mostly I&apos;m drunk atm 😇'
'Virgo'
'Lol I&apos;m kidding'
'I&apos;m kidding'
'I&apos;m 32'
'Virgo'
'Virgo'
'5&apos;10'
'A vidim'
